,english,sentiment,vader_sentiment,blob_sentiment
22,the right to protest is sacrosanct but there_is no right to inflict chaos amp misery on people trying to go about their_lives we stand with the law abiding majority amp will ensure the toughest penalties_for criminals who bring major roads to a standstill,NEGATIVE,NEGATIVE,POSITIVE
23,thanks to the vaccine_roll out we’re the most open economy in europe and set to have the fastest_growth in the g i’m thrilled that pfizer will manufacture_vaccines in the uk bringing hundreds_of jobs and helping to deliver vaccines to millions of people around the world,POSITIVE,POSITIVE,POSITIVE
24,we’re_taking action to bust the backlogs by creating new nhs diagnostic hubs these one stop shops will provide all the scans tests and procedures that people need we’re_getting on with the job as we invest_in the people’s_priorities and buildbackbetter,POSITIVE,NEUTRAL,POSITIVE
25,the diggers have_been whirring into_action transforming this site in leeds into an_incredible new hospital we’re_getting on with the job of building new_hospitals in england investing in the people’s_priorities as we buildbackbetter_from the pandemic,POSITIVE,NEUTRAL,POSITIVE
26,we are the party of the nhs buildbackbetter,POSITIVE,POSITIVE,NEUTRAL
27,thread we are fast approaching a critical_moment for our_planet and our people when – in just one_month’s time – world_leaders will gather in_glasgow for the long_awaited climate_summit,POSITIVE,NEUTRAL,POSITIVE
28,i_am proud to lead a country celebrated for its dynamism and diversity where every_day black_britons are making_history blackhistorymonth transformingtoday,POSITIVE,POSITIVE,POSITIVE
29,great to address young climate activists at the youthclimate conference alongside_pm mario_draghi young_people have the greatest stake in the future of our_planet with their passion and drive we_can make cop the beginning of the end of climate_change,POSITIVE,POSITIVE,POSITIVE
30,in one_month’s time at the climate_summit in_glasgow we_need world_leaders to be ambitious and take_action that means bold commitments on coal cars cash and trees to limit temperature_increase to degrees and set the world on the path to net_zero emissions,NEGATIVE,POSITIVE,POSITIVE
31,there_are no_words that adequately express the horror of sarah’s murder like the rest of the country i have_been sickened_by what we have heard over the course of this sentencing and the pain and suffering endured by her_family and friends is truly unimaginable,NEGATIVE,NEGATIVE,POSITIVE
32,very_sorry to hear of the death of roger hunt a legendary goalscorer and member of the magnificent squad who_took england to world_cup victory my_thoughts are with his_family friends and many_fans,NEUTRAL,POSITIVE,POSITIVE
33,i d urge_everyone to go about their business in the normal_way and fill_up only when you really need it,POSITIVE,NEUTRAL,POSITIVE
34,it’s years_since the foundation of the national blood transfusion service and in that time selfless blood donors have both saved and improved the lives of so_many people in their hour of need i’d encourage_everyone who can to become a blood donor it really is lifesaving,POSITIVE,POSITIVE,POSITIVE
35,no_words can adequately do justice to the debt we as a nation owe fallen police_officers without their dedication and willingness to run toward danger we simply would not be_able to live our lives in safety and security it’s something we_must never take for_granted npmd,NEUTRAL,POSITIVE,POSITIVE
36,we_must restore the natural balance of our environment amp reverse the loss of trees and biodiversity by that s_why we_re committed to beautifying the landscape and strengthening our protection_against flooding by trebling tree planting rates by the end of this parliament,POSITIVE,POSITIVE,POSITIVE
37,my_thoughts are with the family and friends of sabina nessa at this deeply_distressing time and i will_be thinking of them tonight as people come_together to pay_their respects we will do_everything we_can to prevent these abhorrent crimes and make our_streets safer,NEUTRAL,POSITIVE,NEGATIVE
38,grab yourself a_mug and support s coffee morning they re a brilliant charity who do so_much to help those_living with cancer remember giftaid applies to donations_made get_involved here macmillancoffeemorning,POSITIVE,POSITIVE,POSITIVE
39,a green economy does_not have to be a poor economy as we approach we have a chance to save ourselves from the threat of climate_change and also to make investments that will create_more jobs growth and opportunities in the future unga,POSITIVE,POSITIVE,NEGATIVE
40,we are approaching that critical turning_point when we_must show that we are capable of finally taking_responsibility for the destruction we are inflicting on our_planet and ourselves read_my speech at the general_assembly → unga,NEGATIVE,NEGATIVE,POSITIVE
41,the uk and the us have_fought bravely together to defend our people and our values we are forever_grateful to those_who made the ultimate_sacrifice to keep us safe and protect our way of life,POSITIVE,POSITIVE,POSITIVE
42,the relationship_between the uk and the us is_vital to confronting the great challenges of the st_century working with we will advance our_shared vision of a greener global_economy and preserving freedom and democracy around the world,POSITIVE,POSITIVE,POSITIVE
43,great to catch_up with in_washington dc the uk and australia are natural_allies and we will_continue to work_together to defend our values and improve the prosperity of our people,POSITIVE,POSITIVE,POSITIVE
44,thank_you for the warm_welcome,POSITIVE,NEUTRAL,NEUTRAL
45,it’s_fantastic to see londoners flocking to the new northern line extension as_mayor i_saw the diggers whir into_action shifting thousands_of tonnes of earth to turn an_iconic industrial area into a dynamic place to live and work,POSITIVE,POSITIVE,POSITIVE
46,the uk us partnership is_vital as we face the challenges of the future and i will_continue to work_together to buildbackbetter_from the pandemic tackle_climate change and strengthen_our security partnership,POSITIVE,POSITIVE,NEUTRAL
47,the uk and us are staunch allies and the closest of partners we will stand_side by_side to protect our people and defend our values around the world,POSITIVE,POSITIVE,NEUTRAL
48,a_pleasure to meet kamala_harris the partnership_between our two_countries is absolutely_vital as we buildbackbetter_from the pandemic,POSITIVE,NEUTRAL,NEUTRAL
49,congratulations on your re_election the uk and canada are great friends and partners and i_look forward to us working_closely together in the years_ahead,POSITIVE,POSITIVE,POSITIVE
50,on the way to the,NEUTRAL,NEUTRAL,NEUTRAL
51,fantastic that has_confirmed the united_states will double the cash it spends to help vulnerable_countries tackle_climate change the uk and the us are leading the fight to protect our_planet – this is exactly the momentum we_need ahead of,POSITIVE,POSITIVE,POSITIVE
52,future_generations will judge us on our actions in the coming_months we_must not_fail them unga,NEGATIVE,NEUTRAL,NEUTRAL
53,rich nations have reaped the benefits of pollution for generations we have a duty to help ub ubdeveloping countries grow their economies in a green and sustainable way i’m_calling on leaders to meet our bn pledge to the world’s_poorest unga,NEGATIVE,POSITIVE,POSITIVE
54,i_am delighted that from november is reinstating transatlantic travel so fully_vaccinated uk_nationals can visit the usa it’s a fantastic boost for business and trade and great that family and friends on both_sides of the pond can be_reunited once_again,POSITIVE,POSITIVE,POSITIVE
55,this_week at unga i will_be making the case that a global_recovery from the pandemic must_be rooted in green_growth we only have a short_time left world_leaders must deliver on their climate commitments ahead of buildbackbetter,POSITIVE,POSITIVE,NEUTRAL
56,it_was an_honour to present the groundbreaking discovery whocareswins award to the brilliant oxford_vaccine team faced_with the greatest_challenge of our times these incredible_scientists helped_us carry_out one of the most_successful vaccination programmes in the world,POSITIVE,POSITIVE,POSITIVE
57,our heroic nhs_staff have done an_incredible job throughout the pandemic ’s whocareswins awards are a great way to thank the extraordinary men and women of our_nhs who have_worked tirelessly providing_care and saving_lives,POSITIVE,POSITIVE,POSITIVE
58,sad to hear the news about jimmy greaves he will_be remembered as a goalscoring legend and one of the greats of english football my_thoughts are with his_family friends and fans,NEGATIVE,NEUTRAL,NEGATIVE
59,there_are just two_weeks to go until conservative_party conference join_me as we set_out how we will_continue to rebuild from the pandemic and deliver on the people s priorities follow throughout cpc to find_out how_we’re going to buildbackbetter,NEGATIVE,NEUTRAL,NEUTRAL
60,the great big green week encourages communities_across the country to celebrate nature and take_action against_climate change both in your community and globally at we want to see ambitious and bold_action against_climate change to preserve and protect our_planet,POSITIVE,POSITIVE,POSITIVE
61,fantastic to go_back to hillingdon hospital for an_update on the redevelopment plans and to meet the incredible and hard_working nhs_staff we’re_delivering on our commitment to build new_hospitals by_ensuring our brilliant nhs can give patients the best_possible care,POSITIVE,POSITIVE,POSITIVE
62,fantastic to welcome mark_rutte to downing_street today and reaffirm the longstanding partnership_between the uk and the netherlands as northseaneighbours nato allies and firm friends hartelijk dank voor je bezoek mark,POSITIVE,POSITIVE,POSITIVE
63,this cabinet and this government is getting on with delivering for the people of this country,POSITIVE,NEUTRAL,NEUTRAL
64,british_businesses are the driving_force behind our_economy creating_jobs supporting skills and generating new ideas i’d_like to encourage british_businesses to apply for the prestigious queen’s award for enterprise which recognise_their outstanding achievements,POSITIVE,POSITIVE,POSITIVE
65,the uk and the uae share a long and rich_history but his_highness and i are focused_on the future our two_countries are working_together to harness the technologies of the future to address climate_change and deliver prosperity for our people,POSITIVE,POSITIVE,NEGATIVE
66,the uk australia and the usa are_forming a new trilateral defence partnership that will preserve security and stability around the world it will also create_hundreds of high_skilled jobs across the country driving forward our levelling_up agenda aukus,POSITIVE,POSITIVE,POSITIVE
67,the cabinet i have appointed today will work_tirelessly to unite and level_up the whole_country we will build_back better from the pandemic and deliver on your priorities now let’s_get on with the job,POSITIVE,POSITIVE,POSITIVE
68,the pandemic is far from over but thanks to our phenomenal vaccine_programme new treatments and testing we are able_to live with the virus without significant restrictions on our freedoms our autumn and winter_plan sets_out how we will manage covid,NEUTRAL,POSITIVE,POSITIVE
69,great to meet smart energy apprentices at this_morning our_planforjobs invests in young_people and gives them the high_tech skills_they need for the careers of the future,POSITIVE,POSITIVE,POSITIVE
70,early_diagnosis is critical to beating cancer the nhs s world_leading trial of a potentially life_saving blood_test that detects cancer before symptoms appear could_be revolutionary in our battle_against a disease that claims the lives of so_many,POSITIVE,NEGATIVE,NEUTRAL
71,our_planforjobs is working unemployment is falling the economy is recovering we will_continue to support people into work ensure they get the skills_they need to get good_jobs and help businesses fill their vacancies,POSITIVE,POSITIVE,NEUTRAL
72,this_summer our and athletes have showcased the very_best of our country with sportsmanship hard_work and determination they_ve demonstrated the true british spirit that means when we put our minds to it there_is no_limit to what we_can achieve,POSITIVE,POSITIVE,POSITIVE
73,what a sensational match huge_congratulations to you showed extraordinary skill poise and guts and we are all hugely proud of you usopen,POSITIVE,POSITIVE,POSITIVE
74,today we_remember the people taken from us on september_th but while the terrorists imposed their burden of grief and suffering we_can now say with the perspective of years that they failed to shake our belief in freedom and democracy,POSITIVE,NEGATIVE,NEGATIVE
75,excellent_discussion with chilean president at_downing street today as chile passes the baton of the presidency to the uk i_look forward to continuing to work_together to drive_forward ambitious_climate action ahead of november’s summit,POSITIVE,NEUTRAL,POSITIVE
76,today is worldsuicidepreventionday for help and support visit,NEUTRAL,POSITIVE,NEUTRAL
77,it’s_fantastic that our_nhs has_secured early access to the breakthrough life_saving cancer drug sotorasib initially for lung_cancer this drug can stop tumour growth making a_huge difference to patients and boosting our efforts to get people the treatment they_need,POSITIVE,NEGATIVE,POSITIVE
78,well_done for a brilliant win at the usopen the whole_country will_be cheering_you on in the final,POSITIVE,POSITIVE,POSITIVE
79,we’re_accelerating the transition to zero_emission vehicles as we mark world ev day it’s_fantastic to see our bold and innovative plans in action across government and industry to make it_easier for people to go electric and get the country building_back greener,POSITIVE,POSITIVE,POSITIVE
80,on day we honour those_who work amp volunteer to keep us safe and well hours a day days a week in the last_months emergency_services have faced unprecedented_challenges i_know i speak on_behalf of the whole_country when i say thank_you we are immensely_proud,POSITIVE,POSITIVE,POSITIVE
81,a phenomenal_win by to reach the usopen semi_finals best of luck in tonight s match we are all behind you,POSITIVE,POSITIVE,POSITIVE
82,we will do what is right_reasonable and fair we’ll_make up the covid_backlogs we’ll_fund more_nurses and i_hope we will remove the anxiety of millions of families up and down the land by taking forward reforms that have_been delayed for far_too long,POSITIVE,NEGATIVE,POSITIVE
83,our mission is to tackle the nhs covid_backlogs and fix social care at the same_time that s what this levy will do – this is the right_reasonable and responsible course of action,POSITIVE,POSITIVE,POSITIVE
84,as we repair the damage of the pandemic we_need to protect our_nhs and address the problems in social care that successive governments have ducked for_decades we’re_taking necessary responsible and fair action to protect our_nhs and ensure dignity and security in old_age,NEGATIVE,POSITIVE,POSITIVE
85,watch_live press_conference on health and the future of social care,POSITIVE,POSITIVE,POSITIVE
86,watch_live i set_out our plan for health and social care,NEUTRAL,POSITIVE,POSITIVE
87,the nhs cared_for us when we needed it most during the worst pandemic in a century today i will set_out my plan to ensure the nhs has the long_term funding it needs so that we_can help our_nhs as it helped_us,POSITIVE,POSITIVE,NEGATIVE
88,those_who served in_afghanistan fulfilled the first duty of the british armed_forces to keep our people safe and they and their_families should take pride in everything they_did we will do right by our_veterans,POSITIVE,POSITIVE,POSITIVE
89,watch_live my_statement on afghanistan,NEGATIVE,NEUTRAL,NEUTRAL
90,wishing jewish_people everywhere a good and sweet new_year shana_tova,POSITIVE,POSITIVE,POSITIVE
91,i_would like to thank the japanese people for playing such fantastic hosts to our olympic and paralympic teams this_summer the challenges of covid have not been easy_but you have brought people and nations together and inspired_millions to get active thank_you,POSITIVE,POSITIVE,POSITIVE
92,it s been a history making games for who reached the podium in more sports than_any other nation medals golds and second in the medal_count thank_you for inspiring us impossibletoignore,POSITIVE,POSITIVE,POSITIVE
93,our_armed forces stand_ready to defend the uk and advance our objectives at_home and abroad i’m_deeply grateful to all who_serve – they_represent the very_best of this country,POSITIVE,POSITIVE,NEUTRAL
94,it is completely_unacceptable that players were racially_abused in hungary last_night i_urge to take strong action_against those_responsible to ensure that this kind of disgraceful behaviour is eradicated from the game for good,NEGATIVE,POSITIVE,POSITIVE
95,the courage and professionalism of our_armed forces was on full_display during the evacuation_operation in_afghanistan which lifted people to safety they are the best of the best,POSITIVE,POSITIVE,POSITIVE
96,racing into the record books – congratulations,POSITIVE,POSITIVE,NEUTRAL
97,delighted have struck a deal on this game_changing cholesterol drug not_only will it benefit hundreds_of thousands_of patients by preventing heart attacks and strokes but it is also another_example of britain as a life sciences superpower,POSITIVE,POSITIVE,POSITIVE
98,our country has a proud history of helping those in need we will prove that once_again through our support for the afghan_people we’ve welcomed to the uk,POSITIVE,POSITIVE,POSITIVE
99,tonight’s un_security council resolution led_by the uk with our_allies makes_clear that the international_community stands_with afghans there can be no return to repression or terror we will push as one voice for safe passage humanitarian_access amp respect for human_rights,POSITIVE,NEGATIVE,POSITIVE
100,my letter to all_those who_served in_afghanistan whether you are_still serving or a veteran a loved_one a relation or a friend you all played your part and you should feel immense_pride,POSITIVE,POSITIVE,NEUTRAL
101,on the end of military_operations in_afghanistan,NEGATIVE,NEUTRAL,NEUTRAL
102,operation_pitting is a mission unlike_anything we have_seen in our lifetime helping people to safety in just under two_weeks i_want to thank everyone_involved and the thousands_of those_who served over the last two_decades you can be proud of what you have_achieved,POSITIVE,POSITIVE,POSITIVE
103,this has_been an operation of unprecedented pace and scale thank_you for everyone_who has_contributed to the amazing_effort,POSITIVE,NEUTRAL,POSITIVE
104,the tragic_loss of two uk_nationals and the child of a uk national underlines the urgency of our evacuation_effort and the bravery of everyone_involved we will_continue to move heaven and earth to get people out and to safety,NEGATIVE,POSITIVE,NEUTRAL
105,the uk has always_been a generous and compassionate country and i’m_proud of how our officials armed_forces charities and local_communities have_responded in the last_few weeks to the situation in_afghanistan,POSITIVE,POSITIVE,NEUTRAL
106,operation_pitting has_been evacuating people from afghanistan at an_unprecedented scale and pace thank_you to everyone_involved in this operation we continue to do_everything we_can to help those to whom we_owe a debt of honour,POSITIVE,POSITIVE,NEUTRAL
107,i utterly condemn the barbaric terrorist_attack in_kabul in which afghans and members of the us military lost_their lives the threat of terrorist_attack is one of the constraints we’ve_been operating under but our evacuation_effort continues with over extracted so_far,NEGATIVE,NEGATIVE,NEGATIVE
108,an_incredible achievement congratulations,POSITIVE,POSITIVE,NEUTRAL
109,i_m very_proud of our incredible armed_forces who are working_flat out to support the evacuation_operation in_kabul,POSITIVE,POSITIVE,POSITIVE
110,today the committed to work_together on the immediate evacuation_effort to ensure this continues safely we also_agreed we_must have a shared roadmap for engaging_with the taliban that aims to preserve the progress of the last_years,POSITIVE,POSITIVE,POSITIVE
111,good_luck to our brilliant and inspirational paralympians,POSITIVE,POSITIVE,POSITIVE
112,i_want to wish our brilliant paralympians the very_best of luck as the tokyo paralympic_games kick_off today we’re all willing you on go for gold,POSITIVE,POSITIVE,POSITIVE
113,today i will hold an emergency meeting to coordinate our response to the crisis in_afghanistan i will ask our friends and allies to stand by the afghan_people and step_up support for refugees and humanitarian_aid,NEGATIVE,NEGATIVE,NEUTRAL
114,young_people continue to be hospitalised with covid many of those becoming seriously ill are unvaccinated if_you haven_t done so already please_get your_jabs as_soon as you can,NEGATIVE,NEGATIVE,POSITIVE
115,i will_convene g_leaders on_tuesday for urgent talks on the situation in_afghanistan it is_vital that the international_community works together to ensure safe evacuations prevent a humanitarian_crisis and support the afghan_people to secure the gains of the last_years,NEUTRAL,POSITIVE,POSITIVE
116,an_update on the situation in_afghanistan,NEGATIVE,NEUTRAL,NEUTRAL
117,today i_met a_few of the afghan former_staff who have_been resettled in the uk with their_families they worked_side by_side with us and we stood by them and ensured their safety we_re working_tirelessly to help those in the country to whom we_owe a debt of obligation,POSITIVE,POSITIVE,NEUTRAL
118,we_owe the brave people who_worked side_by side with us in_afghanistan a debt of gratitude i’m_proud to see our_resettlement scheme welcoming_afghans safely to our_shores we’re_working to get as many_people out of afghanistan as_possible in the coming_days,POSITIVE,POSITIVE,POSITIVE
119,good_news that has_approved the first therapeutic treatment designed specifically for covid alongside our life_saving vaccine_programme this will_be an_important weapon in fighting_covid particularly for those_who are immunocompromised,POSITIVE,NEGATIVE,POSITIVE
120,we_must help the people of afghanistan choose the best of all their possible futures that is the critical task on which this government – working alongside our friends and partners_around the world – is now urgently engaged,POSITIVE,POSITIVE,POSITIVE
121,we have an enduring commitment to the afghan_people and we will honour it a new resettlement_scheme will create a safe and legal route for those in most need to come and live safely in the uk,POSITIVE,POSITIVE,POSITIVE
122,today s jobs_figures are encouraging showing signs of recovery across the country with employment up and unemployment_down there_is still work to do but our_planforjobs will give people the skills and experience they_need to get back_into work,POSITIVE,POSITIVE,NEUTRAL
123,an_update on the situation in_afghanistan,NEGATIVE,NEUTRAL,NEUTRAL
124,on vjday we honour and remember the many british_commonwealth and allied personnel_who served in the far_east and pacific often in unthinkable conditions they_fought for freedom brought the second_world war to an_end and restored peace and prosperity to the world,POSITIVE,POSITIVE,POSITIVE
125,it_was a_pleasure to visit the this_week where i was shown the medals awarded to my grandfather wilfred for his service in the second_world war the bravery and sacrifice of the wartime generation will_never be_forgotten,POSITIVE,POSITIVE,NEUTRAL
126,on the fourth anniversary of anoosheh ashoori’s wrongful detention in iran i reiterate my call for iran to do the right_thing and release him immediately anoosheh and the other british_nationals unjustly imprisoned in iran must_be able_to return to their_families in the uk,NEGATIVE,NEGATIVE,NEGATIVE
127,thanks to uk donations million of the world’s_most vulnerable will now have access to covid_vaccinations they join over_billion people around the world who have_been protected by the oxford_astrazeneca vaccine the uk will_continue to be a leading_supporter of covax,POSITIVE,POSITIVE,NEGATIVE
128,my_thoughts are with the friends and family of those_who lost_their lives and with all_those affected_by the tragic_incident in plymouth last_night i thank the emergency_services for their response,NEUTRAL,POSITIVE,NEUTRAL
129,fantastic that of adults_under have come_forward to get_vaccinated please_get your_jab if_you haven_t already it is our best_route to beating the virus and getting back to the things we love,POSITIVE,POSITIVE,POSITIVE
130,encouraging_economic growth_figures this_morning there will_be challenges_ahead but our successful_vaccination programme and planforjobs combined with the strength and resilience of the british_people puts the uk in a strong position_as we buildbackbetter_from the pandemic,POSITIVE,POSITIVE,POSITIVE
131,a massive congratulations to everyone_who is receiving_their gcse_results today,POSITIVE,POSITIVE,NEUTRAL
132,inspiring to see the team cross the finish_line of their epic mile row from new_york to london you ve_done this country proud and raised huge funds for and in the process congratulations,POSITIVE,POSITIVE,POSITIVE
133,our incredible vaccine_rollout has now provided protection to of uk_adults we should_be proud of this huge national achievement_it’s vital those_who haven’t been vaccinated book their jab to protect_themselves their_loved ones and allow_us to enjoy our freedoms safely,POSITIVE,POSITIVE,POSITIVE
134,congratulations to everyone_receiving their a level_results today it’s been an_extremely challenging_year and you should all be very_proud of what you’ve achieved and as you move to this exciting next_stage make_sure you remember to get your_jab,POSITIVE,POSITIVE,POSITIVE
135,the report couldn’t_be clearer humans are causing potentially catastrophic climate_change the world must_act together to avoid incalculable damage in the future,NEGATIVE,NEGATIVE,NEUTRAL
136,i_would like to thank the people of japan for hosting and the world these_past weeks you have_shown even in the most challenging of times the power of sport and the olympic movement in bringing people and nations together,POSITIVE,POSITIVE,POSITIVE
137,a message to our fantastic olympians,POSITIVE,POSITIVE,POSITIVE
138,yes lauren very well_done what a brilliant games for british boxing,POSITIVE,POSITIVE,POSITIVE
139,this is magnificent jason kenny – the greatest british olympian ever,POSITIVE,POSITIVE,POSITIVE
140,it s been fantastic to watch the mighty british and irish team battle the during their tour of south_africa we_re all behind you in your final test of the series — drive for the line lions,POSITIVE,POSITIVE,POSITIVE
141,taking olympic_gold in both men s and women_s modern pentathlon is an_incredible achievement joe choong and kate french you ve made us very_proud,POSITIVE,NEUTRAL,POSITIVE
142,just brilliant fantastic job galal,POSITIVE,POSITIVE,POSITIVE
143,the is the finest in the world,POSITIVE,NEUTRAL,NEUTRAL
144,i welcome the universal condemnation of iran_s attack on the mv mercer street this was a clear and outrageous violation of international_law and the uk will_continue to work with our_allies to protect lives and uphold freedom of navigation,POSITIVE,NEGATIVE,NEGATIVE
145,it_was an_honour to address the graduates of today i’m_proud of you the whole_nation is proud of you the country knows_that we_can rely_on the men and women of the and the leadership that has_been acquired here at sandhurst to keep us safe,POSITIVE,POSITIVE,POSITIVE
146,a phenomenal friday of sport in tokyo with many great medal wins for hugely inspirational to see laura kenny making_history as the first british woman to win gold at three olympic_games very well_done all,POSITIVE,POSITIVE,POSITIVE
147,british farmers go above and beyond around the clock to keep the nation_fed this farm i_want to thank them and recognise the extraordinary_contribution they make every_day to this country they will_always have my support,POSITIVE,POSITIVE,NEUTRAL
148,it_was a_pleasure to visit s headquarters at tulliallan castle yesterday the police play a vital_role in protecting the public and it_was great to see first_hand how they are_preparing for the challenge of policing in november this year,POSITIVE,POSITIVE,POSITIVE
149,another_fantastic performance from brilliant golds in women’s sailing and individual showjumping silver and bronze in boxing and it_was fantastic to see history being_made by our youngest ever olympic medallist sky brown taking bronze in skateboarding,POSITIVE,POSITIVE,POSITIVE
150,i_want to thank and forces right across the uk for their work throughout this_pandemic together they are tackling serious crime and keeping our_streets safe,POSITIVE,POSITIVE,POSITIVE
151,thank_you to each and every one of our brilliant transport workers_who have kept the country moving throughout the last_months,POSITIVE,POSITIVE,POSITIVE
152,a quick message to our brilliant_athletes in tokyo,POSITIVE,NEUTRAL,POSITIVE
153,it_was a great honour to welcome the very courageous to downing_street today the united_kingdom stands_with her and the belarusian people in supporting democracy_human rights and the rule of law in belarus,POSITIVE,POSITIVE,POSITIVE
154,brilliant_performance from sailing away with two_gold medals and a silver_teamgb tokyo,POSITIVE,NEUTRAL,NEUTRAL
155,it_was fantastic to visit airbus in stevenage today they play a vital_role in our defence and space capabilities creating_high skilled_jobs across the uk and putting rocket boosters behind our_economy to help_us build_back better,POSITIVE,POSITIVE,POSITIVE
156,congratulations to on_winning their first_gold medal in team eventing since and well_done to and toledo de kerser for taking_silver in the individual eventing teamgb_tokyo,POSITIVE,POSITIVE,NEUTRAL
157,this investment from is excellent_news for for the people of hertfordshire and for the uk’s film and tv industry as a whole the creative industries are at the heart of our plans to buildbackbetter,POSITIVE,POSITIVE,POSITIVE
158,congratulations another_fantastic result for teamgb_tokyo,POSITIVE,POSITIVE,NEUTRAL
159,huge_congratulations to for their world_record breaking win in the pool and win in the triathlon mixed relay fantastic tokyo_teamgb,POSITIVE,POSITIVE,POSITIVE
160,congratulations to beth shriever on_winning ’s_first ever gold in bmx racing and well_done to kye whyte for taking_silver teamgb_tokyo,POSITIVE,POSITIVE,NEUTRAL
161,it is very welcome_news that the uk holocaust memorial and learning_centre has_been granted planning permission we have a duty to ensure that the holocaust is never_forgotten and that it will_continue to be taught to future_generations,POSITIVE,POSITIVE,POSITIVE
162,education is the single best_thing you can_do to fix the problems of humanity i_am proud we have raised billion for to transform the lives of millions of children around the world as we buildbackbetter_from the pandemic_ges,POSITIVE,POSITIVE,POSITIVE
163,today the world has come_together to invest_in young_people and their future education is the wellspring of opportunity and the best_way to buildbackbetter_from the pandemic thank_you to everyone_who has_made the global_education summit a success ges,POSITIVE,POSITIVE,POSITIVE
164,one billion_doses of the oxford_astrazeneca vaccine have now been supplied to countries this british vaccine distributed at cost is saving_lives across the globe together we_can vaccinate the world by the end of next_year and build_back better from coronavirus,POSITIVE,POSITIVE,POSITIVE
165,now is the time to put education first at the global_education summit we are making the case for investing in young_people around the world as one of the best ways to bounce_back from the pandemic_ges fundeducation buildbackbetter,POSITIVE,POSITIVE,POSITIVE
166,improving education is the best_way for countries to buildbackbetter_from the pandemic at today s global_education summit i’ll_be urging_leaders to fundeducation so young_people around the world get the opportunities they_deserve ges,POSITIVE,POSITIVE,NEUTRAL
